Table 6 
Ejecta Abundances for 50-50 MDTNR Mixture in CO White Dwarfs^a


WD Mass (M_sun):	0.6	0.8	1.0	1.15	1.25	1.35	
H	3.4 x 10^-1	3.3 x 10^-1	3.1 x 10^-1	3.0 x 10^-1	2.7 x 10^-1	2.2 x 10^-1	
^3He	1.1 x 10^-5	7.6 x 10^-6	4.6 x 10^-6	1.6 x 10^-6	9.3 x 10^-7	4.4 x 10^-7	
^4He	1.4 x 10^-1	1.4 x 10^-1	1.4 x 10^-1	1.6 x 10^-1	1.9 x 10^-1	2.4 x 10^-1	
^7Be	9.3 x 10^-7	3.5 x 10^-6	7.1 x 10^-6	1.2 x 10^-5	1.4 x 10^-5	1.6 x 10^-5	
^7Li	4.3 x 10^-13	2.1 x 10^-13	1.2 x 10^-13	1.2 x 10^-13	3.0 x 10^-13	7.2 x 10^-14	
^12C	1.0 x 10^-1	2.3 x 10^-2	6.8 x 10^-3	1.7 x 10^-2	2.5 x 10^-2	6.8 x 10^-2	
^13C	1.3 x 10^-1	1.5 x 10^-1	6.8 x 10^-2	1.2 x 10^-2	2.0x 10^-2	3.6 x 10^-2	
^14N	3.0 x 10^-2	9.6 x 10^-2	1.9 x 10^-1	2.0 x 10^-1	1.9 x 10^-1	1.7 x 10^-1	
^15N	2.2 x 10^-4	5.3 x 10^-3	3.2 x 10^-2	8.8 x 10^-2	1.7 x 10^-1	2.0 x 10^-1	
^16O	2.5 x 10^-1	2.4 x 10^-1	2.3 x 10^-1	1.8 x 10^-1	4.9 x 10^-2	1.9 x 10^-2	
^17O	1.4 x 10^-3	4.9 x 10^-3	1.6 x 10^-2	4.3 x 10^-2	8.6 x 10^-2	3.2 x 10^-2	
^18O	3.9 x 10^-7	8.2 x 10^-7	2.0 x 10^-6	8.3 x 10^-6	3.0 x 10^-5	6.0 x 10^-6	
^18F	2.1 x 10^-8	4.3 x 10^-8	5.0 x 10^-7	4.0 x 10^-6	9.4 x 10^-6	1.9 x 10^-6	
^19F	2.6 x 10^-8	8.6 x 10^-10	5.2 x 10^-9	4.2 x 10^-8	7.3 x 10^-7	1.0 x 10^-6	
^20Ne	5.8 x 10^-4	6.0 x 10^-4	6.7 x 10^-4	1.1 x 10^-3	2.6 x 10^-3	1.3 x 10^-3	
^21Ne	3.2 x 10^-8	1.1 x 10^-7	2.2 x 10^-7	3.8 x 10^-7	1.1 x 10^-6	4.0 x 10^-7	
^22Ne	5.0 x 10^-3	5.0 x 10^-3	4.9 x 10^-3	4.0 x 10^-3	4.2 x 10^-4	1.9 x 10^-4	
^22Na	1.2 x 10^-6	2.9 x 10^-7	4.1 x 10^-7	1.1 x 10^-6	5.1 x 10^-6	1.2 x 10^-6	
^23Na	2.2 x 10^-5	2.1 x 10^-5	1.3 x 10^-5	1.3 x 10^-5	4.1 x 10^-5	2.2 x 10^-5	
^24Mg	1.3 x 10^-4	1.1 x 10^-6	6.4 x 10^-7	7.1 x 10^-7	1.4 x 10^-6	2.4 x 10^-6	
^25Mg	2.0 x 10^-4	3.2 x 10^-4	2.4 x 10^-4	1.8 x 10^-4	2.3 x 10^-4	8.4 x 10^-5	
^26Mg	4.2 x 10^-5	3.7 x 10^-5	1.2 x 10^-5	9.1 x 10^-6	2.0 x 10^-5	6.8 x 10^-6	
^26Al	1.8 x 10^-7	1.2 x 10^-5	6.6 x 10^-5	7.7 x 10^-5	2.9 x 10^-5	2.8 x 10^-5	
^27Al	3.3 x 10^-5	3.9 x 10^-5	1.2 x 10^-4	3.0 x 10^-4	1.4 x 10^-4	1.3 x 10^-4	
^28Si	3.8 x 10^-4	3.8 x 10^-4	4.2 x 10^-4	7.7 x 10^-4	2.1 x 10^-3	9.9 x 10^-4	
^29Si	2.0 x 10^-5	2.0 x 10^-5	1.6 x 10^-5	1.3 x 10^-5	9.2 x 10^-5	3.3 x 10^-5	
^30Si	1.4 x 10^-5	1.4 x 10^-5	1.8 x 10^-5	4.0 x 10^-5	7.9 x 10^-4	4.6 x 10^-4	
^31P	3.8 x 10^-6	3.8 x 10^-6	3.8 x 10^-6	5.5 x 10^-6	3.0 x 10^-4	2.9 x 10^-4	
^32S	2.0 x 10^-4	2.0 x 10^-4	2.0 x 10^-4	2.0 x 10^-4	4.9 x 10^-4	3.4 x 10^-3	
^33S	1.6 x 10^-6	1.6 x 10^-6	1.6 x 10^-6	1.6 x 10^-6	4.0 x 10^-6	2.4 x 10^-4	
^34S	9.3 x 10^-6	9.3 x 10^-6	9.2 x 10^-6	8.7 x 10^-6	4.4 x 10^-6	1.4 x 10^-4	
^35Cl	2.0 x 10^-6	2.0 x 10^-6	2.1 x 10^-6	2.7 x 10^-6	6.8 x 10^-6	2.5 x 10^-4	
^36Ar	4.6 x 10^-5	4.6 x 10^-5	4.5 x 10^-5	4.0 x 10^-5	1.1 x 10^-5	4.8 x 10^-5	
^40Ca	3.6 x 10^-5	3.6 x 10^-5	3.6 x 10^-5	3.6 x 10^-5	3.6 x 10^-5	5.9 x 10^-5	
Note.
^a All abundances are mass fraction.
